"year","port","name","value","state","indian","fishery","metric","species","units","latitude","longitude"
"1986","Crescent City","July",2823.26792699811,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Aug",5583.75528501527,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Sept",763,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Season",13975.9972352432,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","May",781,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","June",29165.1240757154,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","July",3211,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Sept",377.633278598796,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Season",33534.7573543142,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","May",727,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","June",13770.3148924445,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Sept",1121.52577558713,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Season",15618.8406680317,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","May",392,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","June",4446.57180259196,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Aug",631.068163063212,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Sept",0,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Season",5469.63996565517,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Aug",1386,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Sept",0,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Season",1386,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1994","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1995","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1995","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1995","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1995","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1995","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1995","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1995","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1995","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1996","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1996","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1996","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1996","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1996","Crescent City","Aug",98,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1996","Crescent City","Sept",156,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1996","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1996","Crescent City","Season",254,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1997","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1997","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1997","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1997","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1997","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1997","Crescent City","Sept",0,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1997","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1997","Crescent City","Season",0,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1998","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1998","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1998","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1998","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1998","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1998","Crescent City","Sept",0,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1998","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1998","Crescent City","Season",0,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1999","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1999","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1999","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1999","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1999","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1999","Crescent City","Sept",125,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1999","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"1999","Crescent City","Season",125,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2000","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2000","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2000","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2000","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2000","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2000","Crescent City","Sept",251,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2000","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2000","Crescent City","Season",251,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2001","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2001","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2001","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2001","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2001","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2001","Crescent City","Sept",223,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2001","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2001","Crescent City","Season",223,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2002","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2002","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2002","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2002","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2002","Crescent City","Aug",681,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2002","Crescent City","Sept",3354,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2002","Crescent City","Oct",424,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2002","Crescent City","Season",4459,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2003","Crescent City","Apr",1654,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2003","Crescent City","May",84,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2003","Crescent City","June",100,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2003","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2003","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2003","Crescent City","Sept",1356,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2003","Crescent City","Oct",162,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2003","Crescent City","Season",3356,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2004","Crescent City","Apr",718,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2004","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2004","Crescent City","June",6,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2004","Crescent City","July",5245,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2004","Crescent City","Aug",19686,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2004","Crescent City","Sept",565,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2004","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2004","Crescent City","Season",26220,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2005","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2005","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2005","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2005","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2005","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2005","Crescent City","Sept",1255,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2005","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2005","Crescent City","Season",1255,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2006","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2006","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2006","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2006","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2006","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2006","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2006","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2006","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2007","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2007","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2007","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2007","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2007","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2007","Crescent City","Sept",2367,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2007","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2007","Crescent City","Season",2367,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2008","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2008","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2008","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2008","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2008","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2008","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2008","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2008","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2009","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2009","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2009","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2009","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2009","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2009","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2009","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2009","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
