"year","port","name","value","state","indian","fishery","metric","species","units","latitude","longitude"
"1991","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1991","Neah Bay","Aug",579,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1991","Neah Bay","Sept",366,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1991","Neah Bay","Season",15238,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","May",9073,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","June",6191,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","July",979,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","Aug",833,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1992","Neah Bay","Season",17076,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1993","Neah Bay","May",8566,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1993","Neah Bay","June",5366,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1993","Neah Bay","July",1797,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1993","Neah Bay","Aug",281,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1993","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1993","Neah Bay","Season",16010,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1994","Neah Bay","May",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1994","Neah Bay","June",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1994","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1994","Neah Bay","Aug",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1994","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1994","Neah Bay","Season",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1995","Neah Bay","May",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1995","Neah Bay","June",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1995","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1995","Neah Bay","Aug",3,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1995","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1995","Neah Bay","Season",3,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1996","Neah Bay","May",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1996","Neah Bay","June",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1996","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1996","Neah Bay","Aug",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1996","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1996","Neah Bay","Season",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1997","Neah Bay","May",3236,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1997","Neah Bay","June",549,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1997","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1997","Neah Bay","Aug",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1997","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1997","Neah Bay","Season",3785,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1998","Neah Bay","May",4043,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1998","Neah Bay","June",117,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1998","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1998","Neah Bay","Aug",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1998","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1998","Neah Bay","Season",4160,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1999","Neah Bay","May",2808,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1999","Neah Bay","June",4938,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1999","Neah Bay","July",3428,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1999","Neah Bay","Aug",1524,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1999","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"1999","Neah Bay","Season",12698,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2000","Neah Bay","May",5462,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2000","Neah Bay","June",2086,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2000","Neah Bay","July",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2000","Neah Bay","Aug",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2000","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2000","Neah Bay","Season",7548,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2001","Neah Bay","May",2072,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2001","Neah Bay","June",2284,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2001","Neah Bay","July",1897,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2001","Neah Bay","Aug",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2001","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2001","Neah Bay","Season",6253,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2002","Neah Bay","May",5626,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2002","Neah Bay","June",4680,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2002","Neah Bay","July",5589,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2002","Neah Bay","Aug",2813,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2002","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2002","Neah Bay","Season",18708,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2003","Neah Bay","May",13364,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2003","Neah Bay","June",4385,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2003","Neah Bay","July",6554,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2003","Neah Bay","Aug",5848,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2003","Neah Bay","Sept",363,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2003","Neah Bay","Season",30514,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2004","Neah Bay","May",7128,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2004","Neah Bay","June",510,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2004","Neah Bay","July",4685,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2004","Neah Bay","Aug",5727,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2004","Neah Bay","Sept",1034,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2004","Neah Bay","Season",19084,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2005","Neah Bay","May",4929,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2005","Neah Bay","June",595,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2005","Neah Bay","July",3285,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2005","Neah Bay","Aug",3182,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2005","Neah Bay","Sept",NA,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2005","Neah Bay","Season",11991,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2006","Neah Bay","May",2434,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2006","Neah Bay","June",545,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2006","Neah Bay","July",109,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2006","Neah Bay","Aug",662,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2006","Neah Bay","Sept",461,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2006","Neah Bay","Season",4211,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2007","Neah Bay","May",223,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2007","Neah Bay","June",122,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2007","Neah Bay","July",171,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2007","Neah Bay","Aug",20,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2007","Neah Bay","Sept",18,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2007","Neah Bay","Season",554,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2008","Neah Bay","May",47,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2008","Neah Bay","June",434,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
"2008","Neah Bay","July",1,"WA","Indian","commercial","catch","Chinook","numbers",48.3681,-124.625
